Buscando 64 documentos suspeitos (Elasticsearch, combinação 8)...
  [1/64] suspicious-document00079.txt: 45.2s (total até agora: 0.8min)
  [2/64] suspicious-document00413.txt: 36.7s (total até agora: 1.4min)
  [3/64] suspicious-document04595.txt: 1.8s (total até agora: 1.4min)
  [4/64] suspicious-document04636.txt: 43.5s (total até agora: 2.1min)
  [5/64] suspicious-document04786.txt: 56.2s (total até agora: 3.1min)
  [6/64] suspicious-document04823.txt: 26.3s (total até agora: 3.5min)
  [7/64] suspicious-document05709.txt: 3.1s (total até agora: 3.5min)
  [8/64] suspicious-document05791.txt: 69.4s (total até agora: 4.7min)
  [9/64] suspicious-document05841.txt: 21.4s (total até agora: 5.1min)
  [10/64] suspicious-document06342.txt: 12.0s (total até agora: 5.3min)
  [11/64] suspicious-document06500.txt: 66.9s (total até agora: 6.4min)
  [12/64] suspicious-document06610.txt: 57.0s (total até agora: 7.3min)
  [13/64] suspicious-document06618.txt: 11.3s (total até agora: 7.5min)
  [14/64] suspicious-document06657.txt: 2.7s (total até agora: 7.6min)
  [15/64] suspicious-document06874.txt: 43.4s (total até agora: 8.3min)
  [16/64] suspicious-document07042.txt: 72.4s (total até agora: 9.5min)
  [17/64] suspicious-document07141.txt: 208.8s (total até agora: 13.0min)
  [18/64] suspicious-document07225.txt: 10.4s (total até agora: 13.1min)
  [19/64] suspicious-document07321.txt: 3.3s (total até agora: 13.2min)
  [20/64] suspicious-document07385.txt: 10.7s (total até agora: 13.4min)
  [21/64] suspicious-document07467.txt: 3.1s (total até agora: 13.4min)
  [22/64] suspicious-document07521.txt: 63.5s (total até agora: 14.5min)
  [23/64] suspicious-document07590.txt: 3.4s (total até agora: 14.5min)
  [24/64] suspicious-document07677.txt: 18.0s (total até agora: 14.8min)
  [25/64] suspicious-document08001.txt: 12.1s (total até agora: 15.0min)
  [26/64] suspicious-document08002.txt: 10.5s (total até agora: 15.2min)
  [27/64] suspicious-document08137.txt: 17.4s (total até agora: 15.5min)
  [28/64] suspicious-document08205.txt: 19.6s (total até agora: 15.8min)
  [29/64] suspicious-document08716.txt: 20.7s (total até agora: 16.2min)
  [30/64] suspicious-document08721.txt: 15.1s (total até agora: 16.4min)
  [31/64] suspicious-document08984.txt: 35.1s (total até agora: 17.0min)
  [32/64] suspicious-document09029.txt: 1.1s (total até agora: 17.0min)
  [33/64] suspicious-document09356.txt: 44.2s (total até agora: 17.8min)
  [34/64] suspicious-document09432.txt: 18.1s (total até agora: 18.1min)
  [35/64] suspicious-document09467.txt: 22.5s (total até agora: 18.4min)
  [36/64] suspicious-document09472.txt: 120.2s (total até agora: 20.5min)
  [37/64] suspicious-document00563.txt: 28.6s (total até agora: 20.9min)
  [38/64] suspicious-document00574.txt: 1.2s (total até agora: 20.9min)
  [39/64] suspicious-document00637.txt: 104.0s (total até agora: 22.7min)
  [40/64] suspicious-document00713.txt: 22.2s (total até agora: 23.1min)
  [41/64] suspicious-document00816.txt: 43.7s (total até agora: 23.8min)
  [42/64] suspicious-document00976.txt: 3.5s (total até agora: 23.8min)
  [43/64] suspicious-document09514.txt: 32.1s (total até agora: 24.4min)
  [44/64] suspicious-document09897.txt: 26.4s (total até agora: 24.8min)
  [45/64] suspicious-document10242.txt: 1.7s (total até agora: 24.8min)
  [46/64] suspicious-document10292.txt: 26.1s (total até agora: 25.3min)
  [47/64] suspicious-document10375.txt: 63.0s (total até agora: 26.3min)
  [48/64] suspicious-document10497.txt: 0.7s (total até agora: 26.3min)
  [49/64] suspicious-document10548.txt: 69.8s (total até agora: 27.5min)
  [50/64] suspicious-document10744.txt: 36.5s (total até agora: 28.1min)
  [51/64] suspicious-document01312.txt: 26.4s (total até agora: 28.6min)
  [52/64] suspicious-document01942.txt: 76.5s (total até agora: 29.8min)
  [53/64] suspicious-document01977.txt: 36.2s (total até agora: 30.4min)
  [54/64] suspicious-document02161.txt: 1.7s (total até agora: 30.5min)
  [55/64] suspicious-document02291.txt: 3.8s (total até agora: 30.5min)
  [56/64] suspicious-document02417.txt: 40.0s (total até agora: 31.2min)
  [57/64] suspicious-document02538.txt: 52.9s (total até agora: 32.1min)
  [58/64] suspicious-document02612.txt: 24.6s (total até agora: 32.5min)
  [59/64] suspicious-document02654.txt: 58.2s (total até agora: 33.5min)
  [60/64] suspicious-document02736.txt: 58.7s (total até agora: 34.4min)
  [61/64] suspicious-document02808.txt: 11.8s (total até agora: 34.6min)
  [62/64] suspicious-document03602.txt: 27.3s (total até agora: 35.1min)
  [63/64] suspicious-document03814.txt: 245.7s (total até agora: 39.2min)
  [64/64] suspicious-document03980.txt: 3.5s (total até agora: 39.2min)

Concluído em 39.2 minutos
Resultados salvos em: /Users/pedrojuliosilvasucupira/Desktop/BRI.R/reports/es_combo8_results.json
